day,time,value
2022-08-10,14,3.600000
2022-08-10,15,3.100000
2022-08-10,16,2.400000
2022-08-10,17,2.700000
2022-08-10,18,2.600000
2022-08-10,19,2.400000
2022-08-10,20,2.000000
2022-08-10,21,1.900000
2022-08-10,22,2.000000
2022-08-10,23,2.200000
2022-08-11,0,2.300000
2022-08-11,1,2.300000
2022-08-11,2,2.900000
2022-08-11,3,2.800000
2022-08-11,4,2.700000
2022-08-11,5,2.900000
2022-08-11,6,2.900000
2022-08-11,7,3.300000
2022-08-11,8,3.500000
2022-08-11,9,3.400000
2022-08-11,10,3.600000
2022-08-11,11,4.300000
2022-08-11,12,4.400000
